source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
18653491,Jebel Ali aluminium plant,ARE,aluminum,25.030659,55.094263,trace_55.094263_25.030659,owner,Mubadala Investment Company,100000001086.0,50.0,Emal EGA,100000002159,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.109957,,,"{5399,5400,7061}"
18653491,Jebel Ali aluminium plant,ARE,aluminum,25.030659,55.094263,trace_55.094263_25.030659,owner,Investment Corporation of Dubai,100001000294.0,50.0,Emal EGA,100000002159,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.109999,,,"{5399,5400,7061}"
18653468,Taweelah Shaheen Alumina Refinery,ARE,aluminum,24.778805,54.71425,trace_54.71425_24.778805,owner,Mubadala Investment Company,100000001086.0,50.0,Emal EGA,100000002159,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.113372,,,"{5399,5400,7061}"
18653468,Taweelah Shaheen Alumina Refinery,ARE,aluminum,24.778805,54.71425,trace_54.71425_24.778805,owner,Investment Corporation of Dubai,100001000294.0,50.0,Emal EGA,100000002159,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.113415,,,"{5399,5400,7061}"
18653492,Taweelah-Abu Dhabi aluminium plant,ARE,aluminum,24.792631,54.721203,trace_54.721203_24.792631,owner,Mubadala Investment Company,100000001086.0,50.0,Emal EGA,100000002159,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.110053,,,"{5399,5400,7061}"
18653492,Taweelah-Abu Dhabi aluminium plant,ARE,aluminum,24.792631,54.721203,trace_54.721203_24.792631,owner,Investment Corporation of Dubai,100001000294.0,50.0,Emal EGA,100000002159,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.110097,,,"{5399,5400,7061}"
18653493,Puerto Madryn aluminium plant,ARG,aluminum,-42.739023,-65.0533811829819,trace_-65.0533811829819_-42.739023,owner,Aluar,100001012409.0,100.0,Aluar,100001012409,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.103258,,,{7061}
18653494,Bell Bay aluminium plant,AUS,aluminum,-41.127506,146.869749,trace_146.869749_-41.127506,owner,Rio Tinto,100000001119.0,100.0,Rio Tinto,100000001119,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.103354,,,{7061}
18653495,Boyne Island aluminium plant,AUS,aluminum,-23.928482,151.338843,trace_151.338843_-23.928482,owner,Boyne Smelters,100001012410.0,100.0,Boyne Smelters,100001012410,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.103416,,,{7061}
18653477,Bunbury Port Terminal 6 (Worsley Alumina),AUS,aluminum,-33.320254,115.667168,trace_115.667168_-33.320254,owner,South32,100001010133.0,100.0,South32 Worsley Alumina,100000121326,100,real_property_aluminum-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.113734,,,"{6379,7061}"
