source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
18655092,Cacuaco cement plant,AGO,cement,-8.796392,13.42678,trace_13.42678_-8.796392,owner,Nova Cimangola,100001013053.0,100.0,Nova Cimangola,100001013053,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.126,,,{7061}
18655091,Luanda cement plant,AGO,cement,-8.766173,13.316051,trace_13.316051_-8.766173,owner,Nova Cimangola,100001013053.0,100.0,Nova Cimangola,100001013053,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.125982,,,{7061}
18655095,Rrethi i Krujës cement plant (0002),ALB,cement,41.503079,19.743606,trace_19.743606_41.503079,owner,Kushe Kruje Cement Factory,100001013042.0,100.0,Kushe Kruje Cement Factory,100001013042,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.125637,,,{7061}
18655096,Rrethi i Krujës cement plant (0003),ALB,cement,41.549091,19.725338,trace_19.725338_41.549091,owner,Antea Cement,100001013043.0,100.0,Antea Cement,100001013043,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.125661,,,{7061}
18655106,Adhen Village cement plant,ARE,cement,25.386639,55.968218,trace_55.968218_25.386639,owner,Pioneer Cement Industries,100001014017.0,100.0,Pioneer Cement Industries,100001014017,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.147886,,,{7061}
18655100,Al Ain cement plant,ARE,cement,24.137441,55.733956,trace_55.733956_24.137441,owner,Al Ain Cement Factory,100001014012.0,100.0,Al Ain Cement Factory,100001014012,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.147821,,,{7061}
18655109,Al Sajaa Industrial Area cement plant,ARE,cement,25.296089,55.617005,trace_55.617005_25.296089,owner,Sharjah Cement and Industrial Development mpany,100001014019.0,100.0,Sharjah Cement and Industrial Development mpany,100001014019,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.147912,,,{7061}
18655103,Dibba Al Fujairah cement plant,ARE,cement,25.552944,56.226827,trace_56.226827_25.552944,owner,Lafarge Emirates Cement,100001014021.0,100.0,Lafarge Emirates Cement,100001014021,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.147942,,,{7061}
18655105,Dubai cement plant (0011),ARE,cement,25.157152,55.242025,trace_55.242025_25.157152,owner,National Cement,100001014016.0,100.0,National Cement,100001014016,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.147873,,,{7061}
18655099,Eastern Region cement plant (0001),ARE,cement,24.003398,55.438602,trace_55.438602_24.003398,owner,Al Ain Cement Factory,100001014012.0,100.0,Al Ain Cement Factory,100001014012,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.147809,,,{7061}
18655101,Ghalilah cement plant (0004),ARE,cement,25.972745,56.070834,trace_56.070834_25.972745,owner,Gulf Cement,100001014015.0,100.0,Gulf Cement,100001014015,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.14786,,,{7061}
18655107,Ghalilah cement plant (0013),ARE,cement,25.975192,56.068896,trace_56.068896_25.975192,owner,Ras Al Khaimah Cement mpany,100001014018.0,100.0,Ras Al Khaimah Cement mpany,100001014018,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.147898,,,{7061}
18655108,Ghalilah cement plant (0014),ARE,cement,25.964045,56.069847,trace_56.069847_25.964045,owner,Ras Al Khaimah for White Cement and nstruction Materials,100001014014.0,100.0,Ras Al Khaimah for White Cement and nstruction Materials,100001014014,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.147848,,,{7061}
18655110,Ghalilah cement plant (0016),ARE,cement,25.967124,56.064911,trace_56.064911_25.967124,owner,Union Cement mpany,100001014020.0,100.0,Union Cement mpany,100001014020,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.147925,,,{7061}
18655102,Ras Al-Khaimah cement plant (0006),ARE,cement,25.548753,55.986541,trace_55.986541_25.548753,owner,JK Cement Works Fujairah FZC,100001014013.0,100.0,JK Cement Works Fujairah FZC,100001014013,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.147834,,,{7061}
18655104,Ras Al-Khaimah cement plant (0008),ARE,cement,25.558872,55.985251,trace_55.985251_25.558872,owner,Lafarge Emirates Cement,100001014021.0,100.0,Lafarge Emirates Cement,100001014021,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.147955,,,{7061}
18655111,Ras Al-Khaimah cement plant (0018),ARE,cement,25.556404,55.977484,trace_55.977484_25.556404,owner,Star Cement,100001014022.0,100.0,Star Cement,100001014022,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.147967,,,{7061}
18655114,Belgrano cement plant,ARG,cement,-32.862443,-66.850896,trace_-66.850896_-32.862443,owner,Cementos Avellaneda,100001013054.0,100.0,Cementos Avellaneda,100001013054,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.126018,,,{7061}
18655125,Deseado cement plant,ARG,cement,-46.789492,-67.927543,trace_-67.927543_-46.789492,owner,Holcim Argentina,100001013056.0,100.0,Holcim Argentina,100001013056,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.126186,,,{7061}
18655116,El Alto Department cement plant,ARG,cement,-28.467957,-65.227789,trace_-65.227789_-28.467957,owner,Loma Negra mpania Industrial Argentina,100001013057.0,100.0,Loma Negra mpania Industrial Argentina,100001013057,100,real_property_cement-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.126203,,,{7061}
