source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
25486984,Cassinga Mine,AGO,iron-mining,-14.687436,16.04864,trace_16.04864_-14.687436,owner,Tosyalı Holding,100001000709,100.0,Tosyalı Holding,100001000709,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.025742,,,{7061}
25486985,Abydos Mine,AUS,iron-mining,-21.146121,119.105658,trace_119.105658_-21.146121,owner,Atlas Iron,100001012853,100.0,Atlas Iron,100001012853,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.025809,,,{7061}
25486986,Area C Mine,AUS,iron-mining,-22.923369,118.949384,trace_118.949384_-22.923369,owner,BHP Group,100000000015,100.0,BHP Group,100000000015,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.025856,,,{7061}
25486987,B1 Mine,AUS,iron-mining,-22.678896,117.46565,trace_117.46565_-22.678896,owner,Rio Tinto,100000001119,100.0,Rio Tinto,100000001119,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.0259,,,{7061}
25486988,Blue Hills Mine,AUS,iron-mining,-29.149215,116.820824,trace_116.820824_-29.149215,owner,Sinosteel,100000001677,100.0,Sinosteel,100000001677,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.025942,,,{7061}
25486989,Brockman 2 Mine,AUS,iron-mining,-22.434706,117.370166,trace_117.370166_-22.434706,owner,Rio Tinto,100000001119,100.0,Rio Tinto,100000001119,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.025984,,,{7061}
25486990,Brockman 4 Mine,AUS,iron-mining,-22.59706187,117.1717974,trace_117.1717974_-22.59706187,owner,Rio Tinto,100000001119,100.0,Rio Tinto,100000001119,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.026025,,,{7061}
25486991,Cairn Hill Mine,AUS,iron-mining,-29.298225,135.118865,trace_135.118865_-29.298225,owner,Cu-River Mining,100001012854,100.0,Cu-River Mining,100001012854,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.026067,,,{7061}
25486992,Carina Mine,AUS,iron-mining,-30.810038,120.301386,trace_120.301386_-30.810038,owner,Polaris Metals,100001012855,100.0,Polaris Metals,100001012855,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.026124,,,{7061}
25486993,Channar Mine,AUS,iron-mining,-23.303571,117.774262,trace_117.774262_-23.303571,owner,Rio Tinto,100000001119,100.0,Rio Tinto,100000001119,100,iron-ore_reserves,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.026165,,,{7061}
