source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
3143714,Ghazanfar Oil Refinery,AFG,oil-and-gas-refining,37.208141,67.408271,trace_67.408271_37.208141,owner,Ghazanfar Group,100001010486.0,100.0,Ghazanfar Group,100001010486,100.0,real_property_refinery,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.227296,,,{7061}
3143722,Sonagol Luanda Refinery,AGO,oil-and-gas-refining,-8.779845,13.298064,trace_13.298064_-8.779845,owner,Sonangol,100001010715.0,100.0,Sonangol,100001010715,100.0,real_property_refinery,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.227531,,,{7061}
3143715,Armo Ballsh Refinery,ALB,oil-and-gas-refining,40.604904,19.755851,trace_19.755851_40.604904,owner,Armo,100001014633.0,100.0,Armo,100001014633,100.0,real_property_refinery,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.227316,,,"{7061,34398}"
3144156,Abu Dhabi National Oil Company Umm Al-Narr Refinery,ARE,oil-and-gas-refining,24.43696,54.49262,trace_54.49262_24.43696,owner,ADNOC,100001014755.0,100.0,ADNOC,100001014755,100.0,real_property_refinery,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.235756,,,{7061}
3144154,Abu Dhabi Oil Refining Company Al-Ruwais Refinery,ARE,oil-and-gas-refining,24.12462,52.71988,trace_52.71988_24.12462,owner,ADNOC,100001014755.0,100.0,ADNOC,100001014755,100.0,real_property_refinery,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.235725,,,{7061}
3144155,ENOC Jebel Ali Refinery,ARE,oil-and-gas-refining,25.00761,55.0593,trace_55.0593_25.00761,owner,Emirates National Oil,100001014756.0,100.0,Emirates National Oil,100001014756,100.0,real_property_refinery,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.235741,,,{7061}
3144157,Sharjah Oil Refinery,ARE,oil-and-gas-refining,25.475291,55.506768,trace_55.506768_25.475291,owner,Sharjah National Oil,100001014757.0,100.0,Sharjah National Oil,100001014757,100.0,real_property_refinery,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.235772,,,{7061}
3144158,Uniper Fujairah Refinery,ARE,oil-and-gas-refining,25.194082,56.355782,trace_56.355782_25.194082,owner,Uniper,100000000457.0,100.0,Uniper,100000000457,100.0,real_property_refinery,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.235792,,,"{5013,7061,34420}"
3143725,DAPSA Buenos Aires Refinery,ARG,oil-and-gas-refining,-34.656059,-58.327087,trace_-58.327087_-34.656059,owner,DAPSA,100001014634.0,100.0,DAPSA,100001014634,100.0,real_property_refinery,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.227585,,,{7061}
3143726,Pan American Energy Campana Refinery,ARG,oil-and-gas-refining,-34.16196,-58.94717,trace_-58.94717_-34.16196,owner,BC Energy Investments,100000000005.0,50.0,Pan American Energy,100000001764,100.0,real_property_refinery,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.227608,,,"{2343,2344,7061}"
3143726,Pan American Energy Campana Refinery,ARG,oil-and-gas-refining,-34.16196,-58.94717,trace_-58.94717_-34.16196,owner,BP,100000001096.0,50.0,Pan American Energy,100000001764,100.0,real_property_refinery,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:36.227631,,,"{2343,2344,7061}"
