source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
18652550,Capitan Bermudez Pulp and Paper,ARG,pulp-and-paper,-32.8263,-60.702095,trace_-60.702095_-32.8263,owner,Celulosa Argentina,100001011608.0,100.0,Celulosa Argentina,100001011608,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.950072,,,
18652548,Libertador General San Martin (Ledesma) Pulp and Paper,ARG,pulp-and-paper,-23.826248,-64.794858,trace_-64.794858_-23.826248,owner,Ledesma SAAI,100001011609.0,100.0,Ledesma SAAI,100001011609,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.950117,,,
18652521,Puerto Esperanza Pulp,ARG,pulp-and-paper,-25.989382,-54.635025,trace_-54.635025_-25.989382,owner,Arauco Argentina,100001011628.0,100.0,Arauco Argentina,100001011628,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.950751,,,
18652424,Morwell Kraft Pulp and Paper Mill (Maryvale),AUS,pulp-and-paper,-38.182593,146.447494,trace_146.447494_-38.182593,owner,Paper Australia,100001011677.0,100.0,Paper Australia,100001011677,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.95214,,,
18652428,Tumut Kraft Pulp and Linerboard Mill,AUS,pulp-and-paper,-35.295393,148.136552,trace_148.136552_-35.295393,owner,Visy Industries,100001011674.0,100.0,Visy Industries,100001011674,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.952073,,,
18652526,Bruck an der Mur Pulp & Paper Mill,AUT,pulp-and-paper,47.416924,15.278207,trace_15.278207_47.416924,owner,Norske Skog Bruck,100001011624.0,100.0,Norske Skog Bruck,100001011624,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.950607,,,
18652405,Gratkorn Pulp & Paper Mill,AUT,pulp-and-paper,47.13162,15.336602,trace_15.336602_47.13162,owner,Sappi,100000001654.0,100.0,Sappi Austria Produktions,100000001655,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.952465,,,{4593}
18652405,Gratkorn Pulp & Paper Mill,AUT,pulp-and-paper,47.13162,15.336602,trace_15.336602_47.13162,owner,,,,Sappi Austria Produktions,100000001655,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.952488,,,
18652535,Hallein Pulp Mill & Viscose Fibers,AUT,pulp-and-paper,47.675104,13.110303,trace_13.110303_47.675104,owner,AustroCel Hallein,100001011617.0,100.0,AustroCel Hallein,100001011617,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.950365,,,
18652479,Poels Kraft Pulp and Paper Mill,AUT,pulp-and-paper,47.219082,14.585135,trace_14.585135_47.219082,owner,Zellstoff Poels,100001011653.0,100.0,Zellstoff Poels,100001011653,100,real_property_paper-mill,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:35.951491,,,
