source_id,source_name,iso3_country,original_inventory_sector,lat,lon,geometry_ref,relationship,ultimate_parent_name,ultimate_parent_id,percent_interest_parent,company_name,company_id,percent_interest_company,interest_units,start_date,end_date,created_date,modified_date,percent_company_datasource,percent_parent_datasource
61396,Kurum International Elbasan steel plant,ALB,steel,41.094611,20.026117,trace_20.026117_41.094611,owner,Kurum International ShA,100000130992,100.0,Kurum International ShA,100000130992,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.074813,,{15219},{15219}
61394,GHC Emirates Steel Industries Abu Dhabi plant,ARE,steel,24.322033,54.467987,trace_54.467987_24.322033,owner,General Holding Corporation,100000130903,100.0,Emirates Steel Industries Company PJS,100000130935,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.074782,,{15412},"{6762,15412}"
61397,ArcelorMittal Acindar Villa Constitución steel plant,ARG,steel,-33.249936,-60.300415,trace_-60.300415_-33.249936,owner,ArcelorMittal,100000000687,100.0,Acindar Industria Argentina de Aceros,100001010109,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.074851,,{15158},"{6341,15158}"
61400,Gerdau Sipar Pérez steel plant,ARG,steel,-32.9912336,-60.7588733,trace_-60.7588733_-32.9912336,owner,Gerdau,100001010270,77.32260000000001,Sipar Aceros,100001010274,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.074914,,{15157},"{6476,6477,15157}"
61398,TenarisSiderca Campana steel plant,ARG,steel,-34.152554,-58.977388,trace_-58.977388_-34.152554,owner,Tenaris,100000000692,100.0,Siderca,100000001765,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.074872,,{15155},"{2616,15155}"
61399,Ternium Siderar San Nicolás steel plant,ARG,steel,-33.37365,-60.138697,trace_-60.138697_-33.37365,owner,Ternium Argentina,100000130688,100.0,Ternium Argentina,100000130688,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.074891,,{15156},{15156}
61403,Voestalpine Stahl Donawitz steel plant,AUT,steel,47.380455,15.065182,trace_15.065182_47.380455,owner,Voestalpine,100000000031,100.0,voestalpine Stahl Donawitz,100000130917,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.074954,,{15220},"{6746,15220}"
61402,Voestalpine Stahl Linz steel plant,AUT,steel,48.274023,14.33434,trace_14.33434_48.274023,owner,Voestalpine,100000000031,100.0,voestalpine Stahl,100000130978,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.074934,,{15221},"{6794,15221}"
61409,Baku Steel Company steel plant,AZE,steel,40.43136,49.886867,trace_49.886867_40.43136,owner,Baku Steel Company MMJ,100000131003,100.0,Baku Steel Company MMJ,100000131003,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.074973,,{15188},{15188}
61420,Aperam Stainless Belgium Châtelet steel plant,BEL,steel,50.414998,4.532443,trace_4.532443_50.414998,owner,Aperam,100000130966,100.0,Aperam Stainless Belgium NV,100000130918,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075163,,{15226},"{6747,15226}"
61419,Aperam Stainless Belgium Genk steel plant,BEL,steel,50.933973,5.511494,trace_5.511494_50.933973,owner,Aperam,100000130966,100.0,Aperam Stainless Belgium NV,100000130918,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075143,,{15223},"{6747,15223}"
61418,ArcelorMittal Gent steel plant,BEL,steel,51.169929,3.804462,trace_3.804462_51.169929,owner,ArcelorMittal,100000000687,100.0,ArcelorMittal,100000000687,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075123,,{15224},"{6340,15224}"
61421,Thy Marcinelle Charleroi steel plant,BEL,steel,50.410335,4.429693,trace_4.429693_50.410335,owner,Riva Forni Elettrici,100000131000,100.0,Thy-Marcinelle,100001010367,100,real_property_steel-plant,2022-01-01 00:00:00,2022-12-31 00:00:00,2023-11-29 22:49:34.075186,,{15225},"{6533,6534,6535,15225}"
