asset_id,asset_name,company_name,parent_name,country,sector,latitude,longitude,percent_interest_parent,start_year,uid
25493979,Acacia,TotalEnergies,TotalEnergies,AGO,oil and gas production and transport,-7.6377,12.023,38.0,,CLT_0
25494078,Cabaca,Sinopec Group,Sinopec Group,AGO,oil and gas production and transport,-6.1098,11.3483,14.48,,CLT_1
25494120,Dalia,TotalEnergies,TotalEnergies,AGO,oil and gas production and transport,-7.6692,11.7752,38.0,,CLT_2
25494189,Girassol,TotalEnergies,TotalEnergies,AGO,oil and gas production and transport,-7.6509,11.7173,38.00000000000001,,CLT_3
25494277,Kissanje-Kizomba,Equinor,Equinor,AGO,oil and gas production and transport,-6.3469,11.1556,12.000000000000002,,CLT_4
25494311,Mafumeira,TotalEnergies,TotalEnergies,AGO,oil and gas production and transport,-5.6749,11.9634,10.0,,CLT_5
25494321,Malongo,TotalEnergies,TotalEnergies,AGO,oil and gas production and transport,-5.4129,12.0649,10.0,,CLT_6
25494359,Mondo,Equinor,Equinor,AGO,oil and gas production and transport,-6.1677,11.2629,12.0,,CLT_7
25494366,Mostarda,TotalEnergies,TotalEnergies,AGO,oil and gas production and transport,-7.3773,11.3785,30.0,,CLT_8
25494412,PSVM Complex,Sinopec Group,Sinopec Group,AGO,oil and gas production and transport,-6.2519,10.7246,8.249999999999998,,CLT_9
25494432,Plutonio,Azule Energy,Azule Energy,AGO,oil and gas production and transport,-7.8625,12.1623,45.99999999999999,,CLT_10
25494469,Rosa,TotalEnergies,TotalEnergies,AGO,oil and gas production and transport,-7.5066,11.6086,38.0,,CLT_11
25494552,Takula,TotalEnergies,TotalEnergies,AGO,oil and gas production and transport,-5.2538,11.8467,10.0,,CLT_12
25494668,Zinia,TotalEnergies,TotalEnergies,AGO,oil and gas production and transport,-7.5406,12.1592,37.99999999999999,,CLT_13
25494420,Patos-Marinza,Geo-Jade Petroleum,Geo-Jade Petroleum,ALB,oil and gas production and transport,40.7705,19.6434,100.0,,CLT_14
25494085,Carina-Fenix-Orion,TotalEnergies,TotalEnergies,ARG,oil and gas production and transport,-52.9031,-67.3443,37.50000000000001,,CLT_15
25494090,Cerro Dragon,BP,BP,ARG,oil and gas production and transport,-45.7519,-68.2639,50.0,,CLT_16
25494150,El Mangrullo,Pampa Energia,Pampa Energia,ARG,oil and gas production and transport,-38.5468,-69.4876,100.0,,CLT_17
25494152,El Porton,YPF,YPF,ARG,oil and gas production and transport,-37.1222,-69.6575,100.0,,CLT_18
25494154,El Tordillo,YPF,YPF,ARG,oil and gas production and transport,-45.8604,-67.9369,12.199999999999998,,CLT_19
25494161,Estacion Fernandez Oro,YPF,YPF,ARG,oil and gas production and transport,-38.9307,-68.164,57.01058040426417,,CLT_20
25494292,Las Heras,YPF,YPF,ARG,oil and gas production and transport,-46.4708,-68.6525,94.25730079047386,,CLT_21
25494302,LomaLata,YPF,YPF,ARG,oil and gas production and transport,-38.4593,-68.7088,100.0,,CLT_22
