latitude	longitude	uid_gem	sector	capacity_unit	asset_name	country	start_year_first	capacity_first	start_year	capacity	number_units
-52.9361	-70.8288	L905180	wind power/onshore	mw	Vientos Patagonicos wind farm	Chile	2020.0	10.0	[2020.0]	[10.0]	1
-51.5460148	-72.2312558	L100003	coal plant/bituminous	mw	Río Turbio power station	Argentina	2022.0	120.0	[2022.0]	[120.0]	1
-47.2995	-66.9931	L905447	wind power/onshore	mw	Bicentenario wind farm	Argentina	2019.0	25.0	[2019.0, 2019.0]	[101.0, 25.0]	2
-46.6343	-68.3925	L905494	wind power/onshore	mw	Los Hercules wind farm	Argentina	2021.0	97.0	[2021.0]	[97.0]	1
-46.5925	-67.6486	L905533	wind power/onshore	mw	Canadon Leon wind farm	Argentina	2021.0	122.0	[2021.0]	[122.0]	1
-45.8092	-68.0574	L905303	wind power/onshore	mw	Kosten wind farm	Argentina	2021.0	24.0	[2021.0]	[24.0]	1
-45.7619	169.9197	L906177	wind power/onshore	mw	Mahinerangi wind farm	New Zealand	2011.0	36.0	[2011.0]	[36.0]	1
-45.7506	-67.6634	L905332	wind power/onshore	mw	Diadema wind farm	Argentina	2019.0	28.0	[2019.0]	[28.0]	1
-45.6749	-67.7891	L905535	wind power/onshore	mw	Manantiales Behr wind farm	Argentina	2018.0	50.0	[2018.0, 2018.0]	[50.0, 50.0]	2
-44.9804	-67.056	L905493	wind power/onshore	mw	Malaspina wind farm	Argentina	2020.0	50.0	[2020.0]	[50.0]	1
-44.5554	-66.4812	L905431	wind power/onshore	mw	Garayalde wind farm	Argentina	2018.0	24.0	[2018.0]	[24.0]	1
-43.3514	-65.188	L905296	wind power/onshore	mw	Rawson wind farm	Argentina	2012.0	25.0	[2012.0, 2012.0, 2017.0]	[52.0, 31.0, 25.0]	3
-43.1095	-65.2471	L905297	wind power/onshore	mw	Trelew wind farm	Argentina	2013.0	50.0	[2013.0]	[50.0]	1
-43.0212	-65.2102	L905379	wind power/onshore	mw	Loma Blanca wind farm	Argentina	2020.0	51.0	[2020.0]	[51.0]	1
-42.9167	-65.3333	L905379	wind power/onshore	mw	Loma Blanca wind farm	Argentina	2021.0	100.0	[2021.0]	[100.0]	1
-42.7683	-65.0959	L905295	wind power/onshore	mw	Puerto Madryn wind farm	Argentina	2018.0	71.0	[2018.0]	[71.0]	1
-42.7081	-65.2575	L905295	wind power/onshore	mw	Puerto Madryn wind farm	Argentina	2019.0	151.0	[2019.0]	[151.0]	1
-42.6246	-65.2781	L904991	wind power/onshore	mw	Aluar El Llano wind farm	Argentina	2019.0	50.0	[2019.0, 2019.0, 2020.0]	[50.0, 61.0, 53.0]	3
-42.5858	-65.1584	L905292	wind power/onshore	mw	Chubut Norte wind farm	Argentina	2019.0	26.0	[2019.0, 2021.0, 2021.0, 2021.0]	[29.0, 26.0, 58.0, 83.0]	4
-42.2748	-73.9215	L904983	wind power/onshore	mw	San Pedro De Dalcahue wind farm	Chile	2015.0	36.0	[2015.0]	[36.0]	1
-42.1614	146.6882	L906149	wind power/onshore	mw	Cattle Hill wind farm	Australia	2020.0	144.0	[2020.0]	[144.0]	1
-41.7816	145.0422	L906143	wind power/onshore	mw	Granville Harbour wind farm	Australia	2020.0	112.0	[2020.0]	[112.0]	1
-41.6125381	148.1254475	M1532	coal mine/surface	mt per year	Cullenswood Coal Mine	Australia	2002.0	0.05	[2002.0]	[0.05]	1
-41.2584	174.6688	L906088	wind power/onshore	mw	West Wind wind farm	New Zealand	2009.0	143.0	[2009.0]	[143.0]	1
-41.2345	-73.1589	L904952	wind power/onshore	mw	Aurora wind farm (Chile)	Chile	2020.0	129.0	[2020.0]	[129.0]	1
-41.1999	174.7528	L906084	wind power/onshore	mw	Mill Creek wind farm	New Zealand	2014.0	60.0	[2014.0]	[60.0]	1
-41.0585	-72.9999	L905396	wind power/onshore	mw	Puelche Sur wind farm	Chile	2022.0	158.0	[2022.0]	[158.0]	1
-40.7792	148.0072	L906216	wind power/onshore	mw	Musselroe wind farm	Australia	2013.0	168.0	[2013.0]	[168.0]	1
-40.7391	144.6906	L906215	wind power/onshore	mw	Bluff Point wind farm	Australia	2002.0	10.0	[2002.0]	[10.0]	1
-40.7294	144.6894	L906215	wind power/onshore	mw	Bluff Point wind farm	Australia	2004.0	54.0	[2004.0]	[54.0]	1
-40.7294	144.6894	L906217	wind power/onshore	mw	Studland Bay wind farm	Australia	2007.0	75.0	[2007.0]	[75.0]	1
-40.4722	175.6433	L906095	wind power/onshore	mw	Turitea wind farm	New Zealand	2023.0	103.0	[2023.0]	[103.0]	1
-40.4386	175.6864	L906095	wind power/onshore	mw	Turitea wind farm	New Zealand	2021.0	119.0	[2021.0]	[119.0]	1
-40.3923	175.7317	L906123	wind power/onshore	mw	Te Rere Hau wind farm	New Zealand	2009.0	14.0	[2009.0, 2009.0, 2011.0]	[14.0, 16.0, 16.0]	3
-40.3471	175.7818	L906183	wind power/onshore	mw	Tararua wind farm	New Zealand	2004.0	36.0	[2004.0, 2007.0]	[36.0, 93.0]	2
-40.2996	175.8215	L906085	wind power/onshore	mw	Te Āpiti wind farm	New Zealand	2004.0	91.0	[2004.0]	[91.0]	1
-40.0394	-62.6593	L905299	wind power/onshore	mw	Villalonga wind farm	Argentina	2018.0	52.0	[2018.0]	[52.0]	1
-39.79012324	174.544272	L906180	wind power/onshore	mw	Waipipi wind farm	New Zealand	2021.0	133.0	[2021.0]	[133.0]	1
-39.7557	-69.7624	L904955	wind power/onshore	mw	Vientos Neuquinos wind farm	Argentina	2020.0	100.0	[2020.0]	[100.0]	1
-39.5655	-72.9	L201295	bioenergy	mw	Valdivia power station	Chile	2004.0	140.0	[2004.0]	[140.0]	1
-39.5611	-65.715	L905294	wind power/onshore	mw	Pomona wind farm	Argentina	2019.0	12.0	[2019.0, 2019.0]	[101.0, 12.0]	2
-39.2145	-62.5679	L905261	wind power/onshore	mw	Vientos Del Secano wind farm	Argentina	2020.0	50.0	[2020.0]	[50.0]	1
-38.8018	-62.0833	L905430	wind power/onshore	mw	Pampa Energia wind farm	Argentina	2023.0	81.0	[2023.0]	[81.0]	1
-38.7855	-62.2869	T0538	LNG terminal/import	mtpa	Bahia Blanca GasPort FSRU	Argentina	2008.0	3.8	[2008.0]	[3.8]	1
-38.7636	145.9143	L906071	wind power/onshore	mw	Bald Hills wind farm	Australia	2015.0	107.0	[2015.0]	[107.0]	1
-38.758	-61.7815	L905429	wind power/onshore	mw	De La Bahia wind farm	Argentina	2019.0	50.0	[2019.0]	[50.0]	1
-38.7526	-61.7855	L905430	wind power/onshore	mw	Pampa Energia wind farm	Argentina	2019.0	53.0	[2019.0]	[53.0]	1
-38.6943	-62.0037	L905430	wind power/onshore	mw	Pampa Energia wind farm	Argentina	2019.0	53.0	[2019.0]	[53.0]	1
-38.6697	-62.0382	L905428	wind power/onshore	mw	Corti wind farm	Argentina	2018.0	100.0	[2018.0]	[100.0]	1
-38.6536	146.3394	L906154	wind power/onshore	mw	Toora wind farm	Australia	2002.0	21.0	[2002.0]	[21.0]	1
-38.617	-62.7604	L905062	wind power/onshore	mw	La Castellana wind farm	Argentina	2018.0	99.0	[2018.0]	[99.0]	1
-38.6164	176.038	L700171	geothermal/flash steam - double	mw	Te Mihi geothermal power plant	New Zealand	2014.0	83.0	[2014.0, 2014.0]	[83.0, 83.0]	2
-38.6143	176.1825	L700121	geothermal/flash steam - triple	mw	Nga Awa Purua geothermal power plant	New Zealand	2010.0	140.0	[2010.0]	[140.0]	1
-38.6129	-58.8242	L905298	wind power/onshore	mw	Vientos De Necochea wind farm	Argentina	2020.0	38.0	[2020.0]	[38.0]	1
-38.6109	143.1794	L906001	wind power/onshore	mw	Ferguson wind farm	Australia	2021.0	12.0	[2021.0]	[12.0]	1
-38.6074	145.548	L906023	wind power/onshore	mw	Wonthaggi wind farm	Australia	2005.0	12.0	[2005.0]	[12.0]	1
-38.5759	-61.9221	L905063	wind power/onshore	mw	La Genoveva wind farm	Argentina	2019.0	42.0	[2020.0, 2019.0]	[87.0, 42.0]	2
-38.5731	176.1953	L700122	geothermal/binary cycle	mw	Ngatamariki geothermal power plant	New Zealand	2013.0	100.0	[2013.0]	[100.0]	1
-38.4143	141.541	L906135	wind power/onshore	mw	Portland (PWEP) Wind Energy Project	Australia	2015.0	47.0	[2015.0]	[47.0]	1
-38.4142	141.5427	L906135	wind power/onshore	mw	Portland (PWEP) Wind Energy Project	Australia	2001.0	18.0	[2008.0, 2009.0, 2001.0]	[58.0, 44.0, 18.0]	3
-38.4061	-62.259	L905259	wind power/onshore	mw	Garcia Del Rio wind farm	Argentina	2019.0	10.0	[2019.0]	[10.0]	1
-38.3601	-62.2257	L905538	wind power/onshore	mw	Tres Picos wind farm	Argentina	2020.0	100.0	[2020.0]	[100.0]	1
-38.3598	-62.2257	L904954	wind power/onshore	mw	Vientos Bonaerenses wind farm	Argentina	2020.0	100.0	[2020.0]	[100.0]	1
-38.3466	-62.3099	L905448	wind power/onshore	mw	San Jorge Y El Mataco wind farm	Argentina	2020.0	103.0	[2020.0]	[103.0]	1
-38.318	142.0277	L906135	wind power/onshore	mw	Portland (PWEP) Wind Energy Project	Australia	2007.0	30.0	[2007.0]	[30.0]	1
-38.3053	142.0184	L917291	wind power/onshore	mw	Yambuk wind farm	Australia	2010.0	30.0	[2010.0]	[30.0]	1
-38.3048	-62.2432	L905448	wind power/onshore	mw	San Jorge Y El Mataco wind farm	Argentina	2020.0	101.0	[2020.0]	[101.0]	1
-38.2829	141.955	L917260	wind power/onshore	mw	Codrington wind farm	Australia	2001.0	18.0	[2001.0]	[18.0]	1
-38.2561	143.7424	L905981	wind power/onshore	mw	Mount Gellibrand wind farm	Australia	2018.0	132.0	[2018.0]	[132.0]	1
-38.2099	-58.029	L905301	wind power/onshore	mw	Miramar wind farm	Argentina	2020.0	100.0	[2020.0]	[100.0]	1
-38.1274	142.8574	L905980	wind power/onshore	mw	Mortlake South wind farm	Australia	2021.0	158.0	[2021.0]	[158.0]	1
-38.0932	-72.1469	L905213	wind power/onshore	mw	Renaico wind farm	Chile	2023.0	144.0	[2023.0, 2023.0]	[144.0, 144.0]	2
-38.0631	176.7272	L700077	geothermal/flash steam - double	mw	Kawerau geothermal power plant	New Zealand	2008.0	100.0	[2008.0]	[100.0]	1
-38.043	142.1784	L906055	wind power/onshore	mw	Macarthur wind farm	Australia	2013.0	420.0	[2013.0]	[420.0]	1
-38.0325	-72.2395	L905531	wind power/onshore	mw	Malleco wind farm	Chile	2021.0	135.0	[2021.0, 2021.0]	[135.0, 138.0]	2
-37.9969	-71.5199	L600572	hydropower/conventional storage	mw	Ralco hydroelectric plant	Chile	2004.0	690.0	[2004.0]	[690.0]	1
-37.9491	143.5302	L906098	wind power/onshore	mw	Berrybank wind farm	Australia	2021.0	107.0	[2021.0, 2022.0]	[181.0, 107.0]	2
-37.9173	142.7821	L906178	wind power/onshore	mw	Salt Creek wind farm	Australia	2018.0	54.0	[2018.0]	[54.0]	1
-37.8726	174.9681	L906086	wind power/onshore	mw	Te Uku wind farm	New Zealand	2011.0	64.0	[2011.0]	[64.0]	1
-37.8412	142.8759	L906186	wind power/onshore	mw	Dundonnell wind farm	Australia	2021.0	336.0	[2021.0]	[336.0]	1
-37.8367	143.8619	L906080	wind power/onshore	mw	Mount Mercer wind farm	Australia	2014.0	131.0	[2014.0]	[131.0]	1
-37.8162	142.4766	L906009	wind power/onshore	mw	Mortons Lane wind farm	Australia	2013.0	20.0	[2013.0]	[20.0]	1
-37.8097	140.4174	L906223	wind power/onshore	mw	Canunda wind farm	Australia	2005.0	12.0	[2005.0, 2005.0]	[34.0, 12.0]	2
-37.7831	140.406	L906224	wind power/onshore	mw	Lake Bonney wind farm	Australia	2005.0	39.0	[2005.0, 2008.0, 2010.0]	[80.0, 159.0, 39.0]	3
-37.7431	144.1712	L906052	wind power/onshore	mw	Moorabool South wind farm	Australia	2022.0	171.0	[2022.0]	[171.0]	1
-37.7165	144.242	L906139	wind power/onshore	mw	Yaloak South wind farm	Australia	2018.0	29.0	[2018.0]	[29.0]	1
-37.7137	-72.1969	L904968	wind power/onshore	mw	Los Olmos wind farm	Chile	2022.0	100.0	[2022.0]	[100.0]	1
-37.7103	-71.8169	L600547	hydropower/conventional storage	mw	Angostura hydroelectric plant (Chile)	Chile	2014.0	328.0	[2014.0]	[328.0]	1
-37.6914	142.582	L906010	wind power/onshore	mw	Oaklands Hill wind farm	Australia	2012.0	67.0	[2012.0]	[67.0]	1
-37.6846	-72.627	L904943	wind power/onshore	mw	Tolpan Sur wind farm	Chile	2021.0	84.0	[2021.0]	[84.0]	1
-37.6793	-73.644	L905558	wind power/onshore	mw	Lebu-Toro wind farm	Chile	2014.0	10.0	[2014.0]	[10.0]	1
-37.6727	-72.5283	L904942	wind power/onshore	mw	San Gabriel wind farm	Chile	2019.0	183.0	[2019.0]	[183.0]	1
-37.6592	-72.6069	L905479	wind power/onshore	mw	La Flor wind farm	Chile	2020.0	32.0	[2020.0]	[32.0]	1
-37.6582	144.1683	L906051	wind power/onshore	mw	Moorabool North wind farm	Australia	2020.0	150.0	[2020.0]	[150.0]	1
