uid,city,state,country,country_iso,latitude,longitude,status,owner_permid,owner_name,owner_lei,parent_permid,parent_name,parent_lei,parent_ticker,parent_exchange,capacity,capacity_unit,sector
SFI_0,Dande,Bengo Province,Angola,AGO,-8.5824,13.405271,Operating,,Aceria de Angola,,,Aceria de Angola,,,,0.5,TBD,steel/crude steel
SFI_1,Rrethi i Elbasanit,Qarku i Elbasanit,Albania,ALB,41.094611,20.026117,Operating,5037939021.0,Kurum International ShA,,5037939021.0,Kurum International ShA,,,,0.7,TBD,steel/crude steel
SFI_2,Abu Dhabi,,United Arab Emirates,ARE,24.320682,54.480176,Operating,5036868025.0,Al Ghurair Iron & Steel L L C,,5036868025.0,Al Ghurair Iron & Steel L L C,2549007GWVX54PSL3121,,,,TBD,steel/
SFI_3,Abu Dhabi,Abu Dhabi,United Arab Emirates,ARE,24.322916,54.470987,Operating,5000464115.0,Emirates Steel Industries Company PJS,,5067512125.0,Senaat General Holding Corp,,,,3.5,TBD,steel/crude steel
SFI_4,Abu Dhabi,Abu Dhabi,United Arab Emirates,ARE,24.37872,54.475153,Operating,,nan,,,nan,,,,,TBD,steel/
SFI_5,Dubai,,United Arab Emirates,ARE,24.830458,55.072559,Operating,,nan,,,nan,,,,,TBD,steel/
SFI_6,Dubai,,United Arab Emirates,ARE,24.966572,55.058414,Operating,,nan,,,nan,,,,,TBD,steel/
SFI_7,Dubai,,United Arab Emirates,ARE,24.940021,55.093726,Operating,,nan,,,nan,,,,,TBD,steel/
SFI_8,,Fujairah,United Arab Emirates,ARE,25.202608,56.34925,Operating,,nan,,,nan,,,,,TBD,steel/
SFI_9,Al Hamriya,Sharjah,United Arab Emirates,ARE,25.465611,55.514398,Operating,,nan,,,nan,,,,,TBD,steel/
SFI_10,Palpalá,Jujuy,Argentina,ARG,-24.24424,-65.198096,Operating,5000954892.0,Aceros Zapla Sa,,5000954892.0,Aceros Zapla Sa,,,,0.08,TBD,steel/crude steel
SFI_11,Constitución,Santa Fe,Argentina,ARG,-33.25696,-60.286649,Operating,4295856032.0,Acindar Industria Argentina de Aceros SA,,5000030092.0,ArcelorMittal SA,2EULGUTUI56JI9SAL165,MT,AEX,,TBD,steel/crude steel
SFI_12,San Nicolás de Los Arroyos,Provincia de Buenos Aires,Argentina,ARG,-33.346459,-60.257842,Operating,4295856032.0,Acindar Industria Argentina de Aceros SA,,5000030092.0,ArcelorMittal SA,2EULGUTUI56JI9SAL165,MT,AEX,,TBD,steel/
SFI_13,La Tablada,Provincia de Buenos Aires,Argentina,ARG,-34.687596,-58.539625,Operating,4295856032.0,Acindar Industria Argentina de Aceros SA,,5000030092.0,ArcelorMittal SA,2EULGUTUI56JI9SAL165,MT,AEX,,TBD,steel/
SFI_14,Rosario,Santa Fe,Argentina,ARG,-32.974327,-60.728177,Operating,4295856032.0,Acindar Industria Argentina de Aceros SA,,5000030092.0,ArcelorMittal SA,2EULGUTUI56JI9SAL165,MT,AEX,,TBD,steel/
SFI_15,Pérez,Santa Fe,Argentina,ARG,-32.991766,-60.755798,Operating,5035931133.0,Sipar Aceros SA,,5000004542.0,Gerdau SA,254900YDV6SEQQPZVG24,GGBR4,SAO,0.65,TBD,steel/crude steel
SFI_16,Campana,Provincia de Buenos Aires,Argentina,ARG,-34.155515,-58.975955,Operating,4298123650.0,Siderca SAIC,,5035256873.0,Techint Holdings SARL,,,,0.9,TBD,steel/crude steel
SFI_17,Ramallo Partido,Buenos Aires Province,Argentina,ARG,-33.36772,-60.149568,Operating,4295856067.0,Ternium Argentina SA,,5035256873.0,Techint Holdings SARL,,,,2.88,TBD,steel/crude steel
SFI_18,Haedo,Provincia de Buenos Aires,Argentina,ARG,-34.638826,-58.611764,Operating,4295856067.0,Ternium Argentina SA,,5035256873.0,Techint Holdings SARL,,,,,TBD,steel/finished products
