uid_gem	latitude	longitude	sector_main	sector_main_num	capacity_unit	country	asset_name	owner_name	index	capacity_first	start_year_first	sector_sub_first	capacity	start_year	sector_sub	number_units	row	col	treecover2000	defo_total	y1	y3	y5	y7	defo_y1	defo_y3	defo_y5	defo_y7	quintile_capacity
T0208	25.809175	-80.296697	LNG terminal	0	bcf/d	United States	American LNG Hialeah Terminal	Fortress Investment Group	36351	0.01	2016	export	[0.01]	[2016.0]	['export']	1	176763	-1187	0.0	0.0	1	3	5	7	0.0	0.0	0.0	0.0	0.0
T0499	32.75898	129.806367	LNG terminal	0	mtpa	Japan	Nagasaki LNG Terminal	Saibu Gas	36484	0.2	2003	import	[0.2]	[2003.0]	['import']	1	148964	839225	0.0	0.0036730945821853	1	3	5	6	0.0	0.0009182736455463	0.0009182736455463		0.0
T0221	32.091111	-81.000278	LNG terminal	0	mtpa	United States	Elba Island LNG Terminal	Southern LNG Company LLC	36307	0.25	2019	export	[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]	[2019.0, 2019.0, 2019.0, 2019.0, 2019.0, 2020.0, 2020.0, 2020.0, 2020.0, 2020.0]	['export', 'export', 'export', 'export', 'export', 'export', 'export', 'export', 'export', 'export']	10	151635	-4002	90.0	0.017447199265381	1	3	5	7	0.0	0.0	0.017447199265381	0.017447199265381	0.0
T0276	-8.746306	115.2094864	LNG terminal	0	mtpa	Indonesia	Benoa FSRU	JSK Group	36382	0.35	2016	import	[0.35]	[2016.0]	['import']	1	314985	780837	0.0	0.0	1	3	5	7	0.0	0.0	0.0	0.0	0.0
T0670	18.463029	-77.934847	LNG terminal	0	mtpa	Jamaica	Montego Bay LNG Terminal	New Fortress Energy	36262	0.5	2016	import	[0.5]	[2016.0]	['import']	1	206147	8260	0.0	0.0	1	3	5	7	0.0	0.0	0.0	0.0	0.0
T0753	19.977562	110.057687	LNG terminal	0	mtpa	China	Hainan Shennan LNG Storage Facility	Hainan Shennan Energy Co.,ltd CNPC	36252	0.5	2014	import	[0.5]	[2014.0]	['import']	1	200089	760230	0.0	0.0073461891643707995	1	3	5	7	0.0	0.0	0.0027548209366391	0.0027548209366391	0.0
T0380	21.587366	108.354621	LNG terminal	0	mtpa	China	Fangchenggang LNG Terminal	State Pipe Network Group Guangxi Fangchenggang Natural Gas Co Ltd	36412	0.6	2019	import	[0.6]	[2019.0]	['import']	1	193650	753418	0.0	0.0	1	3	5	7	0.0	0.0	0.0	0.0	0.0
T0212	29.77292736	-93.3343038	LNG terminal	0	mtpa	United States	Calcasieu Pass LNG Terminal	Venture Global Calcasieu Pass	36273	0.67	2022	export	[0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67]	[2022.0, 2022.0, 2022.0, 2022.0, 2022.0, 2022.0, 2022.0, 2022.0, 2022.0, 2022.0, 2022.0, 2022.0, 2022.0, 2022.0, 2022.0, 2022.0, 2022.0, 2022.0]	['export', 'export', 'export', 'export', 'export', 'export', 'export', 'export', 'export', 'export', 'export', 'export', 'export', 'export', 'export', 'export', 'export', 'export']	18	160908	-53338	0.0	0.3985307621671258	1	2	3	4	0.0				0.0
T0690	24.2740568	-110.3273078	LNG terminal	0	mtpa	Mexico	Pichilingue LNG Terminal	New Fortress Energy	36557	0.8	2021	import	[0.8]	[2021.0]	['import']	1	182903	-121310	0.0	0.0	1	3	4	5	0.0	0.0			0.0
T0715	22.618619	114.384841	LNG terminal	0	mtpa	China	Shenzhen LNG Terminal (Shenzhen Gas)	Shenzhen Gas Corp Ltd	36562	0.8	2019	import	[0.8]	[2019.0]	['import']	1	189525	777539	87.0	0.0697887970615241	1	3	5	7	0.0	0.0	0.0404040404040404	0.0404040404040404	0.0
T0837	26.479444	127.927778	LNG terminal	0	mtpa	Japan	Yoshinoura LNG Terminal	Okinawa Electric Power	36575	0.8	2012	import	[0.8]	[2012.0]	['import']	1	174082	831711	0.0	0.4995408631772264	1	3	5	7	0.0055096418732782	0.13865932047750218	0.1542699724517904	0.4040404040404038	0.0
T0323	10.527191	107.026022	LNG terminal	0	mtpa	Vietnam	Thi Vai LNG Terminal	PetroVietnam Gas	36255	1.0	2022	import	[1.0]	[2022.0]	['import']	1	237891	748104	0.0	0.2277318640955002	1	2	3	4	0.0				0.0
T0701	33.984979	133.314241	LNG terminal	0	mtpa	Japan	Niihama LNG Terminal	Niihama LNG Co Ltd	36558	1.0	2022	import	[1.0]	[2022.0]	['import']	1	144060	853256	0.0	0.0	1	2	3	4	0.0				0.0
T0710	30.681206	121.246827	LNG terminal	0	mtpa	China	Pinghu LNG Terminal	Zhejiang Hangjiaxin Clean Energy Co Ltd	36559	1.0	2022	import	[1.0]	[2022.0]	['import']	1	157275	804987	0.0	0.0	1	2	3	4	0.0				0.0
T0793	22.83969325	113.5601836	LNG terminal	0	mtpa	China	Guangzhou Nansha LNG Terminal	Guangdong (Panyu) Petrochemical Storage & Transportation Ltd	36295	1.0	2023	import	[1.0]	[2023.0]	['import']	1	188641	774240	78.0	0.0	0	1	2	3					0.0
T0713	33.470118	126.3233004	LNG terminal	0	mtpa	South Korea	Jeju Aewol LNG Terminal	KOGAS	36560	1.1	2019	import	[1.1]	[2019.0]	['import']	1	146119	825293	0.0	0.0	1	3	5	7	0.0	0.0	0.0	0.0	0.0
T0400	32.041846	121.746907	LNG terminal	0	mtpa	China	Qidong LNG Terminal	Guanghui ENERGY Comprehensive Logistics Development Co Ltd	36423	1.15	2017	import	[1.15, 1.43, 1.43]	[2017.0, 2020.0, 2022.0]	['import', 'import', 'import']	3	151832	806987	48.0	0.0	1	3	5	7	0.0	0.0	0.0	0.0	0.0
T0388	22.15426872	113.9637415	LNG terminal	0	mtpa	Hong Kong	Hong Kong FSRU	香港液化天然氣接收站有限公司	36417	1.2	2023	import	[1.2]	[2023.0]	['import']	1	191382	775854	62.0	0.0	0	1	2	3					0.0
T0513	34.3568348	133.8367306	LNG terminal	0	mtpa	Japan	Sakaide LNG Terminal	Sakaide LNG	36492	1.2	2010	import	[1.2]	[2010.0]	['import']	1	142572	855346	0.0	0.0091827364554636	1	3	5	7	0.0	0.0	0.0	0.0	0.0
T0289	12.0	113.0	LNG terminal	0	mtpa	Malaysia	Dua FLNG Terminal	Petronas	36390	1.5	2021	export	[1.5]	[2021.0]	['export']	1	232000	772000	0.0	0.0	1	3	4	5	0.0	0.0			0.0
T0321	12.651686	101.159533	LNG terminal	0	mtpa	Thailand	Map Ta Phut LNG Terminal 1	PTT LNG	36221	1.5	2019	import	[1.5, 10.0]	[2019.0, 2011.0]	['import', 'import']	2	229393	724638	0.0	0.0	1	3	5	7	0.0	0.0	0.0	0.0	0.0
